;splitweek1;splitweek2;end1;end2;BS_CET;EN_CET;BA_CET;QR_CET;CP_CET;CR_CET;EN_PTS;QR_PTS;CP_PTS;CR_PTS;CET_CP_quantile;PTS_CP_quantile;CET_CR_quantile;PTS_CR_quantile;CET_Lr;CET_La;CET_Ls;CET_Lb;CET_Ur;CET_Ua;CET_Us;CET_Ub;PTS_Lr;PTS_La;PTS_Ls;PTS_Lb;PTS_Ur;PTS_Ua;PTS_Us;PTS_Ub
1;50;20;20;20;0;0;0.908623173;0.966659807;0.917266927;0.917061124;0.028208745;0.742333814;0.933525417;0.934966042;3.733044019;1.454397521;3.724561446;1.540295725;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
2;150;20;20;20;0;0;0.908623173;0.917266927;0.904301297;0.903889689;0.028208745;0.740687384;0.907799959;0.89215888;2.276106105;0.724221441;1.961932381;0.685839816;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
3;50;20;40;20;0;0;0.908623173;0.966659807;0.913768265;0.913562461;0.028208745;0.742333814;0.958633464;0.958016053;2.437164225;2.084227685;2.42271175;2.004402275;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
4;150;20;40;20;0;0;0.908623173;0.966659807;0.904712904;0.905536119;0.028208745;0.740687384;0.914385676;0.922206215;2.427979056;0.895417197;2.506320209;0.961414866;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
5;50;20;Inf;20;0;0;0.908623173;0.917266927;0.99773616;0.99773616;0.028208745;0.737600329;0.991356246;0.991356246;2.394022422;2.486839996;2.423247026;2.478636667;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
6;150;20;Inf;20;0;0;0.908623173;0.966659807;0.911298621;0.907388352;0.028208745;0.742333814;0.963366948;0.958633464;3.034028251;1.813810467;2.393539675;1.514760091;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
7;50;20;20;40;0;0;0.821979831;0.968306236;0.863140564;0.839267339;0.028208745;0.772175345;0.876929409;0.867668244;3.812628172;1.768660648;3.720001795;1.505375003;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
8;150;20;20;40;0;0;0.821979831;0.929615147;0.813541881;0.814982507;0.028208745;0.76908829;0.789668656;0.803457502;1.606541299;0.662686383;1.949828097;0.689654053;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
9;50;20;40;40;0;0;0.821979831;0.968306236;0.834328051;0.832064211;0.028208745;0.772175345;0.917061124;0.908828977;2.47958433;2.272290722;2.425929853;1.969017795;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
10;150;20;40;40;0;0;0.821979831;0.968306236;0.820745009;0.820539206;0.028208745;0.76908829;0.836180284;0.846264664;2.600443283;0.906110314;2.575302154;0.986165661;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
11;50;20;Inf;40;0;0;0.821979831;0.929615147;0.987034369;0.987445977;0.028208745;0.766001235;0.975920971;0.97694999;2.348074726;2.347390078;2.409037398;2.467145653;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
12;150;20;Inf;40;0;0;0.821979831;0.968306236;0.822597242;0.823214653;0.028208745;0.772381148;0.935995061;0.911092817;2.348074726;2.347390078;2.450801184;1.541707858;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
13;50;20;20;Inf;0;0;0.649722165;0.980448652;0.77979008;0.789051245;0.028208745;0.841531179;0.749125334;0.742539617;3.712300792;1.593772756;3.730738984;1.525395091;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
14;150;20;20;Inf;0;0;0.649722165;0.972010702;0.638608767;0.642519037;0.028208745;0.839678946;0.645400288;0.657748508;1.566786802;0.664401337;1.994966248;0.696379399;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
15;50;20;40;Inf;0;0;0.649722165;0.980448652;0.741098992;0.694998971;0.028208745;0.841531179;0.801193661;0.797077588;2.475018496;2.067524309;2.421632285;1.964820318;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
16;150;20;40;Inf;0;0;0.649722165;0.980448652;0.647869932;0.651162791;0.028208745;0.839678946;0.688619057;0.71290389;2.331533788;0.897999361;2.543773135;1.024517535;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
17;50;20;Inf;Inf;0;0;0.649722165;0.972010702;0.925910681;0.926733896;0.028208745;0.837826713;0.932702202;0.931055773;2.346952133;2.481782237;2.417114514;2.428875136;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
18;150;20;Inf;Inf;0;0;0.649722165;0.980448652;0.650133772;0.657542704;0.028208745;0.842354394;0.7752624;0.80448652;2.193924038;1.209666066;2.556492855;1.623159597;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
19;50;50;20;20;0;0;0.942992385;0.907388352;0.934554435;0.933525417;0.028208745;0.63593332;0.944227207;0.940934349;3.763096866;1.754272207;3.735122877;1.553720266;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
20;150;50;20;20;0;0;0.942992385;0.903889689;0.923235234;0.922823626;0.028208745;0.633669479;0.909652192;0.903066475;2.042602191;0.704775718;1.972926521;0.69464099;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
21;50;50;40;20;0;0;0.942992385;0.907388352;0.928997736;0.929409343;0.028208745;0.63593332;0.956369623;0.959868286;2.384508661;1.856852442;2.41430199;1.994833084;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
22;150;50;40;20;0;0;0.942992385;0.907388352;0.926733896;0.925499074;0.028208745;0.633669479;0.924675859;0.928997736;2.590828635;0.918727107;2.429143881;0.94873983;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
23;50;50;Inf;20;0;0;0.942992385;0.903889689;0.996295534;0.996295534;0.028208745;0.631405639;0.98929821;0.989709817;2.323695315;2.428479806;2.380187347;2.504744513;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
24;150;50;Inf;20;0;0;0.942992385;0.907388352;0.931055773;0.927351307;0.028208745;0.717637374;0.964190163;0.961308911;3.006130896;1.763454827;2.492668111;1.618141217;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
25;50;50;20;40;0;0;0.901625849;0.939287919;0.953282568;0.951841943;0.028208745;0.67359539;0.91459148;0.91459148;3.804186938;1.500848195;3.734186444;1.537560799;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
26;150;50;20;40;0;0;0.901625849;0.934760239;0.891541469;0.880633875;0.028208745;0.670714139;0.909446388;0.85223297;3.804186938;1.500848195;2.014556982;0.701990794;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
27;50;50;40;40;0;0;0.901625849;0.939287919;0.892570488;0.893393702;0.028208745;0.67359539;0.935995061;0.935995061;2.408181159;1.948153584;2.420974083;1.962148896;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
28;150;50;40;40;0;0;0.901625849;0.939287919;0.885573163;0.887013789;0.028208745;0.670714139;0.923235234;0.89215888;2.408181159;1.948153584;2.493666073;0.933490481;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
29;50;50;Inf;40;0;0;0.901625849;0.934760239;0.991973657;0.991767853;0.028208745;0.664540029;0.985182136;0.983947314;2.465467094;2.634971722;2.426436506;2.53679957;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
30;150;50;Inf;40;0;0;0.901625849;0.939287919;0.8876312;0.889277629;0.028208745;0.716608356;0.959662482;0.940728545;2.465467094;2.634971722;2.541877132;1.639115134;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
31;50;50;20;Inf;0;0;0.793578926;0.959868286;0.881251286;0.882280305;0.028208745;0.744803458;0.853467792;0.849351718;3.623528629;1.618310143;3.730254253;1.53284873;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
32;150;50;20;Inf;0;0;0.793578926;0.951636139;0.777937847;0.77752624;0.028208745;0.740481581;0.725046306;0.714550319;2.050758178;0.694509366;1.954956301;0.682321346;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
33;50;50;40;Inf;0;0;0.793578926;0.959868286;0.876929409;0.876723606;0.028208745;0.744803458;0.888042807;0.882074501;2.452370557;2.153214845;2.419669644;1.962005116;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
34;150;50;40;Inf;0;0;0.793578926;0.959868286;0.782053921;0.784111957;0.028208745;0.740481581;0.868285655;0.826507512;2.452370557;2.153214845;2.610247076;0.985777393;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
35;50;50;Inf;Inf;0;0;0.793578926;0.951636139;0.963984359;0.964395966;0.028208745;0.739040955;0.960485697;0.962132126;2.357335927;2.441802379;2.406443595;2.494095551;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
36;150;50;Inf;Inf;0;0;0.793578926;0.959868286;0.788845441;0.790080263;0.028208745;0.763119984;0.881662894;0.883515127;2.41650042;1.534553381;2.468240052;1.574862027;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
37;50;100;20;20;0;0;0.950812924;0.890924058;0.939287919;0.939493723;0.028208745;0.549495781;0.948960692;0.944844618;3.694061206;1.706460184;3.718048936;1.529999166;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
38;150;100;20;20;0;0;0.950812924;0.885778967;0.921794608;0.921794608;0.028208745;0.547231941;0.906976744;0.903478082;1.960721206;0.693356013;1.950107554;0.68753691;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
39;50;100;40;20;0;0;0.950812924;0.890924058;0.933525417;0.933525417;0.028208745;0.549495781;0.965836592;0.963572752;2.435089726;2.145624521;2.438342576;2.023827617;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
40;150;100;40;20;0;0;0.950812924;0.890924058;0.931055773;0.930849969;0.028208745;0.547231941;0.931673184;0.93373122;2.650734771;0.940896748;2.585343591;1.013895973;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
41;50;100;Inf;20;0;0;0.950812924;0.885778967;0.996501338;0.996501338;0.028208745;0.653838238;0.99156205;0.991356246;2.397171865;2.53492194;2.409766919;2.455518172;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
42;150;100;Inf;20;0;0;0.950812924;0.890924058;0.931673184;0.931878987;0.028208745;0.729368183;0.975920971;0.963161144;2.397171865;2.53492194;2.445251206;1.53148368;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
43;50;100;20;40;0;0;0.919530768;0.899773616;0.920559786;0.935171846;0.028208745;0.584894011;0.921794608;0.922617823;3.694752649;1.432789679;3.722512917;1.460539826;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
44;150;100;20;40;0;0;0.919530768;0.896686561;0.904095493;0.900185223;0.028208745;0.583247582;0.890718255;0.867256637;2.238256581;0.72581082;1.976950397;0.697002526;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
45;50;100;40;40;0;0;0.919530768;0.899773616;0.911504425;0.911504425;0.028208745;0.584894011;0.944433011;0.948549084;2.423157986;1.823037705;2.433307069;1.99700048;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
46;150;100;40;40;0;0;0.919530768;0.899773616;0.906565137;0.908005763;0.028208745;0.583247582;0.895451739;0.911710228;2.330376901;0.902152112;2.529487461;0.990676174;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
47;50;100;Inf;40;0;0;0.919530768;0.896686561;0.992591068;0.992591068;0.028208745;0.651368594;0.983535707;0.984153118;2.367798368;2.333595049;2.392770659;2.430880946;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
48;150;100;Inf;40;0;0;0.919530768;0.899773616;0.908623173;0.911298621;0.028208745;0.734719078;0.942580778;0.947108459;2.252993072;1.343808386;2.532774814;1.547219925;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
49;50;100;20;Inf;0;0;0.899567812;0.921383001;0.947314262;0.945873637;0.028208745;0.600946697;0.912739247;0.914797283;3.761321833;1.47916856;3.737789571;1.5403587;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
50;150;100;20;Inf;0;0;0.899567812;0.920148179;0.884955752;0.882280305;0.028208745;0.598271249;0.85223297;0.824243672;2.04325181;0.703500675;1.870504788;0.68080535;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
51;50;100;40;Inf;0;0;0.899567812;0.921383001;0.895451739;0.89606915;0.028208745;0.600946697;0.93537765;0.93764149;2.420364703;1.859896771;2.432031337;1.989631069;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
52;150;100;40;Inf;0;0;0.899567812;0.921383001;0.893187899;0.893393702;0.028208745;0.598271249;0.874048158;0.897303972;2.540919596;0.898393333;2.556041842;0.973612024;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
53;50;100;Inf;Inf;0;0;0.899567812;0.920148179;0.990533031;0.990533031;0.028208745;0.652603416;0.980242848;0.980860259;2.368712611;2.390615162;2.41201773;2.433721874;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
54;150;100;Inf;Inf;0;0;0.899567812;0.921383001;0.891747273;0.894628524;0.028208745;0.740275777;0.937847294;0.937435686;2.278558812;1.570859723;2.490479444;1.550686957;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
