"","Var1","Var2","Var3","Var4","CET_CP_perf","PTS_CP_perf","CET_QR_perf","PTS_QR_perf","CET_quantile","PTS_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"1",130,110,0,0,0.9,0.427027027027027,0.962162162162162,0.913513513513514,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"49",130,110,0,20,0.964864864864865,0.0162162162162162,0.962162162162162,0.967567567567568,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"97",130,110,0,40,0.956756756756757,0.0756756756756757,0.967567567567568,0.940540540540541,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"5",130,130,0,0,0.897297297297297,0.313513513513514,0.956756756756757,0.886486486486487,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"53",130,130,0,20,0.962162162162162,0.0108108108108108,0.962162162162162,0.97027027027027,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"101",130,130,0,40,0.867567567567568,0.0594594594594595,0.87027027027027,0.875675675675676,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"9",130,180,0,0,0.872972972972973,0.151351351351351,0.908108108108108,0.854054054054054,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"57",130,180,0,20,0.964864864864865,0.0216216216216216,0.962162162162162,0.956756756756757,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"105",130,180,0,40,0.859459459459459,0.0702702702702703,0.856756756756757,0.845945945945946,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"13",130,210,0,0,0.918918918918919,0.108108108108108,0.916216216216216,0.854054054054054,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"61",130,210,0,20,0.978378378378378,0.0216216216216216,0.972972972972973,0.940540540540541,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"109",130,210,0,40,0.972972972972973,0.0810810810810811,0.964864864864865,0.897297297297297,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"17",130,110,20,0,0.9,0.245945945945946,0.751351351351351,0.608108108108108,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"65",130,110,20,20,0.402702702702703,0.0108108108108108,0.962162162162162,0.937837837837838,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"113",130,110,20,40,0.945945945945946,0.0378378378378378,0.951351351351351,0.878378378378378,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"21",130,130,20,0,0.827027027027027,0.186486486486486,0.727027027027027,0.62972972972973,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"69",130,130,20,20,0.4,0.00810810810810811,0.959459459459459,0.948648648648649,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"117",130,130,20,40,0.821621621621622,0.0513513513513514,0.8,0.778378378378378,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"25",130,180,20,0,0.867567567567568,0.0864864864864865,0.8,0.727027027027027,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"73",130,180,20,20,0.459459459459459,0.0162162162162162,0.959459459459459,0.937837837837838,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"121",130,180,20,40,0.378378378378378,0.0405405405405405,0.827027027027027,0.778378378378378,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"29",130,210,20,0,0.910810810810811,0.0513513513513514,0.883783783783784,0.786486486486486,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"77",130,210,20,20,0.491891891891892,0.00810810810810811,0.97027027027027,0.924324324324324,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"125",130,210,20,40,0.502702702702703,0.0243243243243243,0.959459459459459,0.848648648648649,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"33",130,110,40,0,0.902702702702703,0.943243243243243,0.962162162162162,0.905405405405405,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"81",130,110,40,20,0.964864864864865,0.981081081081081,0.962162162162162,0.962162162162162,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"129",130,110,40,40,0.956756756756757,0.978378378378378,0.967567567567568,0.932432432432432,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"37",130,130,40,0,0.908108108108108,0.902702702702703,0.956756756756757,0.883783783783784,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"85",130,130,40,20,0.967567567567568,0.975675675675676,0.962162162162162,0.97027027027027,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"133",130,130,40,40,0.867567567567568,0.87027027027027,0.87027027027027,0.867567567567568,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"41",130,180,40,0,0.875675675675676,0.883783783783784,0.908108108108108,0.848648648648649,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"89",130,180,40,20,0.964864864864865,0.981081081081081,0.962162162162162,0.954054054054054,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"137",130,180,40,40,0.891891891891892,0.878378378378378,0.856756756756757,0.843243243243243,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"45",130,210,40,0,0.921621621621622,0.92972972972973,0.916216216216216,0.845945945945946,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"93",130,210,40,20,0.978378378378378,0.986486486486487,0.972972972972973,0.937837837837838,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"141",130,210,40,40,0.975675675675676,0.978378378378378,0.964864864864865,0.883783783783784,1.64950138859781,1.26556060584726,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"2",180,110,0,0,0.9,0.932432432432432,0.972972972972973,0.913513513513514,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"50",180,110,0,20,0.964864864864865,0.989189189189189,0.962162162162162,0.967567567567568,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"98",180,110,0,40,0.956756756756757,0.981081081081081,0.967567567567568,0.940540540540541,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"6",180,130,0,0,0.9,0.891891891891892,0.956756756756757,0.886486486486487,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"54",180,130,0,20,0.967567567567568,0.978378378378378,0.962162162162162,0.97027027027027,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"102",180,130,0,40,0.867567567567568,0.897297297297297,0.87027027027027,0.875675675675676,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"10",180,180,0,0,0.875675675675676,0.889189189189189,0.910810810810811,0.854054054054054,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"58",180,180,0,20,0.964864864864865,0.981081081081081,0.962162162162162,0.956756756756757,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"106",180,180,0,40,0.897297297297297,0.889189189189189,0.856756756756757,0.845945945945946,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"14",180,210,0,0,0.927027027027027,0.932432432432432,0.916216216216216,0.854054054054054,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"62",180,210,0,20,0.978378378378378,0.986486486486487,0.972972972972973,0.940540540540541,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"110",180,210,0,40,0.975675675675676,0.983783783783784,0.964864864864865,0.897297297297297,1.44723134775064,1.5272874958642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"18",180,110,20,0,0.248648648648649,0.245945945945946,0.691891891891892,0.616216216216216,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"66",180,110,20,20,0.932432432432432,0.827027027027027,0.959459459459459,0.943243243243243,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"114",180,110,20,40,0.783783783783784,0.672972972972973,0.935135135135135,0.881081081081081,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"22",180,130,20,0,0.148648648648649,0.189189189189189,0.672972972972973,0.648648648648649,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"70",180,130,20,20,0.948648648648649,0.859459459459459,0.959459459459459,0.951351351351351,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"118",180,130,20,40,0.705405405405405,0.662162162162162,0.791891891891892,0.781081081081081,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"26",180,180,20,0,0.556756756756757,0.537837837837838,0.77027027027027,0.737837837837838,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"74",180,180,20,20,0.92972972972973,0.867567567567568,0.959459459459459,0.937837837837838,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"122",180,180,20,40,0.678378378378378,0.675675675675676,0.816216216216216,0.794594594594595,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"30",180,210,20,0,0.697297297297297,0.651351351351351,0.862162162162162,0.791891891891892,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"78",180,210,20,20,0.92972972972973,0.832432432432432,0.97027027027027,0.92972972972973,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"126",180,210,20,40,0.718918918918919,0.708108108108108,0.951351351351351,0.859459459459459,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"34",180,110,40,0,0.916216216216216,0.964864864864865,0.954054054054054,0.897297297297297,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"82",180,110,40,20,0.967567567567568,0.356756756756757,0.962162162162162,0.956756756756757,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"130",180,110,40,40,0.967567567567568,0.983783783783784,0.956756756756757,0.92972972972973,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"38",180,130,40,0,0.913513513513514,0.943243243243243,0.945945945945946,0.864864864864865,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"86",180,130,40,20,0.967567567567568,0.305405405405405,0.962162162162162,0.967567567567568,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"134",180,130,40,40,0.916216216216216,0.891891891891892,0.87027027027027,0.864864864864865,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"42",180,180,40,0,0.894594594594595,0.913513513513514,0.908108108108108,0.837837837837838,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"90",180,180,40,20,0.964864864864865,0.327027027027027,0.962162162162162,0.954054054054054,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"138",180,180,40,40,0.9,0.427027027027027,0.856756756756757,0.827027027027027,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"46",180,210,40,0,0.951351351351351,0.932432432432432,0.905405405405405,0.840540540540541,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"94",180,210,40,20,0.978378378378378,0.313513513513514,0.972972972972973,0.932432432432432,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
