;Var1;Var2;Var3;Var4;CET_CP_perf;PTS_CP_perf;CET_CP_perf_B2;PTS_CP_perf_B2;CET_QR_perf;PTS_QR_perf;CET_quantile;PTS_quantile;CET_quantile_B2;PTS_quantile_B2;CET_Lr;CET_La;CET_Ls;CET_Lb;CET_Ur;CET_Ua;CET_Us;CET_Ub;PTS_Lr;PTS_La;PTS_Ls;PTS_Lb;PTS_Ur;PTS_Ua;PTS_Us;PTS_Ub
1;20;15;0;0;0.945675793;0.933072577;0.941981747;0.93220339;0.984789222;0.930465015;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
49;20;15;0;20;0.998913516;0.991525424;0.998696219;0.991525424;0.969361147;0.922642329;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
97;20;15;0;40;0.990873533;0.980443286;0.988917862;0.980008692;0.969361147;0.907214255;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
5;20;50;0;0;0.978487614;0.965667101;0.978487614;0.964797914;0.960669274;0.902216428;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
53;20;50;0;20;0.996957844;0.991308127;0.996523251;0.99109083;0.907866145;0.903737505;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
101;20;50;0;40;0.995654063;0.985658409;0.99521947;0.985658409;0.939156888;0.893741851;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
9;20;80;0;0;0.99043894;0.97805302;0.990221643;0.977183833;0.925467188;0.876575402;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
57;20;80;0;20;0.999130813;0.994567579;0.999130813;0.994350282;0.91851369;0.898739678;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
105;20;80;0;40;0.99587136;0.987614081;0.994784876;0.987179487;0.929378531;0.878531073;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
13;20;100;0;0;0.995436767;0.982616254;0.994784876;0.982398957;0.920686658;0.864189483;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
61;20;100;0;20;0.996740548;0.991742721;0.996740548;0.991525424;0.891134289;0.875923512;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
109;20;100;0;40;0.995436767;0.985875706;0.994132986;0.985441113;0.899391569;0.865927857;2.706994893;2.709836242;2.696766046;2.696766046;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
17;20;15;20;0;0.634289439;0.769013472;0.646023468;0.664059105;0.984789222;0.841156019;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
65;20;15;20;20;0.905258583;0.947414168;0.911994785;0.905041286;0.969361147;0.896784007;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
113;20;15;20;40;0.818991743;0.887874837;0.827900913;0.820512821;0.969361147;0.863754889;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
21;20;50;20;0;0.77879183;0.875706215;0.865275967;0.732724902;0.960669274;0.746631899;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
69;20;50;20;20;0.925901782;0.949587136;0.930899609;0.908735332;0.907866145;0.858757062;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
117;20;50;20;40;0.883094307;0.927640156;0.890265102;0.852455454;0.939156888;0.811169057;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
25;20;80;20;0;0.850499783;0.916992612;0.863754889;0.800086919;0.925467188;0.741634072;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
73;20;80;20;20;0.938070404;0.966101695;0.946762277;0.928943937;0.91851369;0.858974359;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
121;20;80;20;40;0.890265102;0.935897436;0.901781834;0.862668405;0.929378531;0.784876141;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
29;20;100;20;0;0.88765754;0.931768796;0.90134724;0.848109518;0.920686658;0.764884833;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
77;20;100;20;20;0.927205563;0.955671447;0.938504998;0.916992612;0.891134289;0.837896567;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
125;20;100;20;40;0.906127771;0.942199044;0.916992612;0.875271621;0.899391569;0.787483703;2.818324289;1.055668462;4.310232127;4.310232127;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
33;20;15;40;0;0.776836158;0.816818774;0.776836158;0.788787484;0.984789222;0.888744024;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
81;20;15;40;20;0.94111256;0.966970882;0.943720122;0.958279009;0.969361147;0.920034767;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
129;20;15;40;40;0.916992612;0.924380704;0.923076923;0.908952629;0.969361147;0.89591482;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
37;20;50;40;0;0.879834854;0.90134724;0.880052151;0.8835289;0.960669274;0.763581052;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
85;20;50;40;20;0.95067362;0.967405476;0.958713603;0.958713603;0.907866145;0.873533246;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
133;20;50;40;40;0.951325511;0.948717949;0.951325511;0.936549326;0.939156888;0.830508475;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
41;20;80;40;0;0.925467188;0.93698392;0.925467188;0.920469361;0.925467188;0.755975663;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
89;20;80;40;20;0.951325511;0.978487614;0.951542807;0.972186006;0.91851369;0.868752716;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
137;20;80;40;40;0.951325511;0.957192525;0.951325511;0.944372012;0.929378531;0.8013907;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
45;20;100;40;0;0.94654498;0.950239027;0.94654498;0.938287701;0.920686658;0.780747501;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
93;20;100;40;20;0.938722295;0.971751412;0.938722295;0.962624946;0.891134289;0.849413299;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
141;20;100;40;40;0.956323338;0.958279009;0.956323338;0.949152542;0.899391569;0.807257714;2.636854601;2.096873349;2.644005559;2.644005559;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
2;80;15;0;0;0.78422425;0.87331595;0.78357236;0.820295524;0.984789222;0.946979574;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
50;80;15;0;20;0.974358974;0.98152977;0.974358974;0.970013038;0.969361147;0.932637983;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
98;80;15;0;40;0.926553672;0.954584963;0.926336375;0.929378531;0.969361147;0.924598001;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
6;80;50;0;0;0.884180791;0.935245545;0.883746197;0.898739678;0.960669274;0.918730987;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
54;80;50;0;20;0.972403303;0.983050847;0.972186006;0.969578444;0.907866145;0.915471534;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
102;80;50;0;40;0.955019557;0.972403303;0.95480226;0.951325511;0.939156888;0.908300739;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
10;80;80;0;0;0.931768796;0.957192525;0.931551499;0.935028249;0.925467188;0.896784007;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
58;80;80;0;20;0.983050847;0.987614081;0.983050847;0.978270317;0.91851369;0.911125598;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
106;80;80;0;40;0.957192525;0.9726206;0.956757931;0.956757931;0.929378531;0.895262929;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
14;80;100;0;0;0.953498479;0.969578444;0.953281182;0.949152542;0.920686658;0.880269448;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
62;80;100;0;20;0.975445458;0.98218166;0.975010865;0.972186006;0.891134289;0.886571056;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
110;80;100;0;40;0.964797914;0.974358974;0.96371143;0.95958279;0.899391569;0.880269448;2.634824338;1.655171162;2.582313969;2.582313969;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
18;80;15;20;0;0.594306823;0.684485007;0.594306823;0.643633203;0.984789222;0.866579748;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
66;80;15;20;20;0.880486745;0.916775315;0.880921339;0.877444589;0.969361147;0.913733159;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
114;80;15;20;40;0.780747501;0.840721425;0.781182095;0.797044763;0.969361147;0.885484572;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
22;80;50;20;0;0.679269883;0.809865276;0.679269883;0.700130378;0.960669274;0.77053455;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
70;80;50;20;20;0.894393742;0.926119079;0.895045632;0.876358105;0.907866145;0.876575402;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
118;80;50;20;40;0.792916123;0.891134289;0.794871795;0.795089092;0.939156888;0.833116037;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
26;80;80;20;0;0.719904389;0.860712734;0.722077358;0.730334637;0.925467188;0.768796176;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
74;80;80;20;20;0.904172099;0.944806606;0.905258583;0.899174272;0.91851369;0.875706215;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
122;80;80;20;40;0.808126901;0.897870491;0.809647979;0.812255541;0.929378531;0.807692308;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
30;80;100;20;0;0.791177749;0.890265102;0.791829639;0.793785311;0.920686658;0.788787484;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
78;80;100;20;20;0.88700565;0.926119079;0.887222947;0.887440243;0.891134289;0.853107345;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
126;80;100;20;40;0.833985224;0.905910474;0.837896567;0.826814429;0.899391569;0.809647979;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
34;80;15;40;0;0.646240765;0.817687962;0.685136897;0.714689266;0.984789222;0.946979574;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
82;80;15;40;20;0.911777488;0.965884398;0.913515863;0.927640156;0.969361147;0.932637983;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
130;80;15;40;40;0.828118209;0.925467188;0.830291178;0.858322468;0.969361147;0.924815298;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
38;80;50;40;0;0.875923512;0.905041286;0.880486745;0.816384181;0.960669274;0.918730987;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
86;80;50;40;20;0.929813125;0.966970882;0.930899609;0.933072577;0.907866145;0.916123425;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
134;80;50;40;40;0.889178618;0.949587136;0.892003477;0.898522382;0.939156888;0.908518036;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
42;80;80;40;0;0.86027814;0.937201217;0.919600174;0.867448935;0.925467188;0.897001304;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
